Ціна (грн),Кількість об'єктів
60000,162
160000,165
260000,167
360000,169
460000,170
560000,172
660000,174
760000,175
860000,176
960000,177
1060000,178
1160000,179
1260000,180
1360000,180
1460000,181
1560000,181
1660000,181
1760000,181
1860000,180
1960000,180
2060000,179
2160000,179
2260000,178
2360000,177
2460000,175
2560000,174
2660000,173
2760000,171
2860000,169
2960000,167
3060000,165
3160000,163
3260000,161
3360000,158
3460000,156
3560000,153
3660000,151
3760000,148
3860000,145
3960000,142
4060000,139
4160000,136
4260000,133
4360000,130
4460000,127
4560000,124
4660000,121
4760000,117
4860000,114
4960000,111
5060000,108
5160000,104
5260000,101
5360000,98
5460000,95
5560000,92
5660000,88
5760000,85
5860000,82
5960000,79
6060000,76
6160000,73
6260000,70
6360000,67
6460000,65
6560000,62
6660000,59
6760000,57
6860000,54
6960000,52
7060000,49
7160000,47
7260000,45
7360000,43
7460000,40
7560000,38
7660000,36
7760000,35
7860000,33
7960000,31
8060000,29
8160000,28
8260000,26
8360000,25
8460000,23
8560000,22
8660000,21
8760000,19
8860000,18
8960000,17
9060000,16
9160000,15
9260000,14
9360000,13
9460000,12
9560000,11
9660000,11
9760000,10
9860000,9
9960000,9
