Ціна (грн),Кількість об'єктів
60000,315
160000,332
260000,348
360000,363
460000,378
560000,392
660000,405
760000,417
860000,428
960000,437
1060000,445
1160000,452
1260000,457
1360000,461
1460000,463
1560000,464
1660000,463
1760000,460
1860000,455
1960000,449
2060000,442
2160000,433
2260000,423
2360000,412
2460000,399
2560000,386
2660000,371
2760000,356
2860000,341
2960000,325
3060000,308
3160000,291
3260000,275
3360000,258
3460000,242
3560000,225
3660000,209
3760000,194
3860000,179
3960000,165
4060000,151
4160000,138
4260000,125
4360000,114
4460000,103
4560000,93
4660000,83
4760000,74
4860000,66
4960000,59
5060000,52
5160000,46
5260000,40
5360000,35
5460000,31
5560000,27
5660000,23
5760000,20
5860000,17
5960000,15
6060000,13
6160000,11
6260000,9
6360000,8
6460000,6
6560000,5
6660000,5
6760000,4
6860000,3
6960000,3
7060000,2
7160000,2
7260000,1
7360000,1
7460000,1
7560000,1
7660000,1
