Ціна (грн),Кількість об'єктів
60000,439
160000,445
260000,451
360000,457
460000,462
560000,466
660000,470
760000,474
860000,477
960000,480
1060000,482
1160000,483
1260000,485
1360000,485
1460000,485
1560000,485
1660000,484
1760000,482
1860000,480
1960000,478
2060000,475
2160000,472
2260000,468
2360000,463
2460000,458
2560000,453
2660000,447
2760000,441
2860000,435
2960000,428
3060000,421
3160000,413
3260000,406
3360000,397
3460000,389
3560000,381
3660000,372
3760000,363
3860000,354
3960000,344
4060000,335
4160000,326
4260000,316
4360000,306
4460000,297
4560000,287
4660000,278
4760000,268
4860000,258
4960000,249
5060000,240
5160000,230
5260000,221
5360000,212
5460000,203
5560000,195
5660000,186
5760000,178
5860000,170
5960000,162
6060000,154
6160000,146
6260000,139
6360000,132
6460000,125
6560000,119
6660000,112
6760000,106
6860000,100
6960000,94
7060000,89
7160000,84
7260000,79
7360000,74
7460000,69
7560000,65
7660000,61
7760000,57
7860000,53
7960000,49
8060000,46
8160000,43
8260000,40
8360000,37
8460000,34
8560000,32
8660000,30
8760000,27
8860000,25
8960000,23
9060000,21
9160000,20
9260000,18
9360000,17
9460000,15
9560000,14
9660000,13
9760000,12
9860000,11
9960000,10
