Ціна (грн),Кількість об'єктів
60000,38
160000,38
260000,38
360000,38
460000,38
560000,38
660000,38
760000,38
860000,38
960000,38
1060000,38
1160000,38
1260000,38
1360000,38
1460000,38
1560000,38
1660000,38
1760000,38
1860000,38
1960000,38
2060000,38
2160000,38
2260000,38
2360000,38
2460000,38
2560000,38
2660000,38
2760000,38
2860000,38
2960000,38
3060000,38
3160000,38
3260000,38
3360000,38
3460000,38
3560000,38
3660000,38
3760000,38
3860000,38
3960000,38
4060000,38
4160000,38
4260000,38
4360000,38
4460000,38
4560000,38
4660000,38
4760000,38
4860000,38
4960000,37
5060000,37
5160000,37
5260000,37
5360000,37
5460000,37
5560000,37
5660000,37
5760000,37
5860000,37
5960000,37
6060000,37
6160000,37
6260000,37
6360000,37
6460000,37
6560000,37
6660000,37
6760000,37
6860000,36
6960000,36
7060000,36
7160000,36
7260000,36
7360000,36
7460000,36
7560000,36
7660000,36
7760000,36
7860000,36
7960000,36
8060000,36
8160000,36
8260000,36
8360000,35
8460000,35
8560000,35
8660000,35
8760000,35
8860000,35
8960000,35
9060000,35
9160000,35
9260000,35
9360000,35
9460000,35
9560000,35
9660000,34
9760000,34
9860000,34
9960000,34
