Ціна (грн),Кількість об'єктів
60000,1143
160000,1193
260000,1240
360000,1282
460000,1321
560000,1354
660000,1382
760000,1404
860000,1420
960000,1429
1060000,1432
1160000,1429
1260000,1419
1360000,1403
1460000,1380
1560000,1352
1660000,1319
1760000,1280
1860000,1237
1960000,1190
2060000,1140
2160000,1086
2260000,1031
2360000,974
2460000,916
2560000,857
2660000,799
2760000,741
2860000,684
2960000,629
3060000,576
3160000,524
3260000,475
3360000,429
3460000,386
3560000,345
3660000,307
3760000,272
3860000,240
3960000,211
4060000,185
4160000,161
4260000,139
4360000,120
4460000,103
4560000,88
4660000,75
4760000,64
4860000,54
4960000,45
5060000,38
5160000,31
5260000,26
5360000,21
5460000,17
5560000,14
5660000,12
5760000,9
5860000,8
5960000,6
6060000,5
6160000,4
6260000,3
6360000,2
6460000,2
6560000,1
6660000,1
6760000,1
6860000,1
6960000,1
