Ціна (грн),Кількість об'єктів
60000,14
160000,15
260000,15
360000,16
460000,16
560000,17
660000,17
760000,17
860000,18
960000,18
1060000,18
1160000,18
1260000,18
1360000,17
1460000,17
1560000,17
1660000,16
1760000,16
1860000,15
1960000,15
2060000,14
2160000,13
2260000,13
2360000,12
2460000,11
2560000,11
2660000,10
2760000,9
2860000,8
2960000,8
3060000,7
3160000,6
3260000,6
3360000,5
3460000,5
3560000,4
3660000,4
3760000,3
3860000,3
3960000,3
4060000,2
4160000,2
4260000,2
4360000,1
4460000,1
4560000,1
4660000,1
4760000,1
4860000,1
4960000,1
