Ціна (грн),Кількість об'єктів
60000,146
160000,167
260000,189
360000,213
460000,236
560000,259
660000,281
760000,301
860000,319
960000,335
1060000,347
1160000,356
1260000,361
1360000,362
1460000,359
1560000,352
1660000,341
1760000,327
1860000,310
1960000,290
2060000,269
2160000,246
2260000,223
2360000,200
2460000,177
2560000,155
2660000,134
2760000,115
2860000,98
2960000,82
3060000,68
3160000,55
3260000,45
3360000,36
3460000,28
3560000,22
3660000,17
3760000,13
3860000,10
3960000,7
4060000,6
4160000,4
4260000,3
4360000,2
4460000,1
4560000,1
4660000,1
