Ціна (грн),Кількість об'єктів
60000,42
160000,50
260000,59
360000,69
460000,80
560000,91
660000,103
760000,114
860000,125
960000,135
1060000,144
1160000,151
1260000,157
1360000,160
1460000,162
1560000,162
1660000,159
1760000,154
1860000,148
1960000,140
2060000,131
2160000,120
2260000,109
2360000,98
2460000,87
2560000,76
2660000,65
2760000,55
2860000,46
2960000,38
3060000,31
3160000,25
3260000,20
3360000,16
3460000,12
3560000,9
3660000,7
3760000,5
3860000,4
3960000,3
4060000,2
4160000,1
4260000,1
4360000,1
