Ціна (грн),Кількість об'єктів
60000,32
160000,34
260000,35
360000,36
460000,38
560000,39
660000,40
760000,41
860000,42
960000,43
1060000,44
1160000,45
1260000,46
1360000,46
1460000,47
1560000,47
1660000,47
1760000,48
1860000,48
1960000,48
2060000,47
2160000,47
2260000,47
2360000,46
2460000,46
2560000,45
2660000,44
2760000,43
2860000,42
2960000,41
3060000,40
3160000,39
3260000,38
3360000,37
3460000,35
3560000,34
3660000,33
3760000,31
3860000,30
3960000,28
4060000,27
4160000,25
4260000,24
4360000,23
4460000,21
4560000,20
4660000,19
4760000,18
4860000,16
4960000,15
5060000,14
5160000,13
5260000,12
5360000,11
5460000,10
5560000,9
5660000,9
5760000,8
5860000,7
5960000,7
6060000,6
6160000,5
6260000,5
6360000,4
6460000,4
6560000,3
6660000,3
6760000,3
6860000,2
6960000,2
7060000,2
7160000,2
7260000,2
7360000,1
7460000,1
7560000,1
7660000,1
7760000,1
7860000,1
7960000,1
