Ціна (грн),Кількість об'єктів
60000,110
160000,123
260000,137
360000,151
460000,166
560000,180
660000,195
760000,210
860000,224
960000,238
1060000,251
1160000,263
1260000,274
1360000,284
1460000,292
1560000,299
1660000,303
1760000,306
1860000,307
1960000,306
2060000,303
2160000,298
2260000,291
2360000,282
2460000,273
2560000,261
2660000,249
2760000,236
2860000,222
2960000,207
3060000,193
3160000,178
3260000,163
3360000,149
3460000,135
3560000,121
3660000,108
3760000,96
3860000,85
3960000,74
4060000,65
4160000,56
4260000,48
4360000,41
4460000,35
4560000,30
4660000,25
4760000,21
4860000,17
4960000,14
5060000,12
5160000,9
5260000,8
5360000,6
5460000,5
5560000,4
5660000,3
5760000,2
5860000,2
5960000,1
6060000,1
6160000,1
6260000,1
