Ціна (грн),Кількість об'єктів
60000,50
160000,55
260000,60
360000,65
460000,69
560000,74
660000,78
760000,81
860000,84
960000,87
1060000,88
1160000,89
1260000,90
1360000,89
1460000,88
1560000,86
1660000,84
1760000,81
1860000,77
1960000,73
2060000,69
2160000,64
2260000,59
2360000,54
2460000,49
2560000,45
2660000,40
2760000,35
2860000,31
2960000,27
3060000,24
3160000,20
3260000,17
3360000,15
3460000,12
3560000,10
3660000,8
3760000,7
3860000,6
3960000,5
4060000,4
4160000,3
4260000,2
4360000,2
4460000,1
4560000,1
4660000,1
4760000,1
