Ціна (грн),Кількість об'єктів
60000,133
160000,162
260000,193
360000,226
460000,261
560000,296
660000,331
760000,363
860000,393
960000,418
1060000,438
1160000,451
1260000,457
1360000,456
1460000,447
1560000,431
1660000,410
1760000,383
1860000,352
1960000,318
2060000,283
2160000,248
2260000,214
2360000,181
2460000,151
2560000,124
2660000,100
2760000,79
2860000,62
2960000,48
3060000,36
3160000,27
3260000,20
3360000,14
3460000,10
3560000,7
3660000,5
3760000,3
3860000,2
3960000,1
4060000,1
4160000,1
