Ціна (грн),Кількість об'єктів
60000,30
160000,31
260000,31
360000,31
460000,31
560000,32
660000,32
760000,32
860000,32
960000,33
1060000,33
1160000,33
1260000,33
1360000,33
1460000,33
1560000,33
1660000,33
1760000,33
1860000,33
1960000,33
2060000,33
2160000,33
2260000,33
2360000,33
2460000,33
2560000,33
2660000,33
2760000,32
2860000,32
2960000,32
3060000,32
3160000,31
3260000,31
3360000,31
3460000,31
3560000,30
3660000,30
3760000,30
3860000,29
3960000,29
4060000,28
4160000,28
4260000,28
4360000,27
4460000,27
4560000,26
4660000,26
4760000,25
4860000,25
4960000,25
5060000,24
5160000,24
5260000,23
5360000,23
5460000,22
5560000,22
5660000,21
5760000,21
5860000,20
5960000,20
6060000,19
6160000,19
6260000,18
6360000,18
6460000,17
6560000,17
6660000,16
6760000,16
6860000,15
6960000,15
7060000,14
7160000,14
7260000,13
7360000,13
7460000,13
7560000,12
7660000,12
7760000,11
7860000,11
7960000,10
8060000,10
8160000,10
8260000,9
8360000,9
8460000,9
8560000,8
8660000,8
8760000,8
8860000,7
8960000,7
9060000,7
9160000,6
9260000,6
9360000,6
9460000,6
9560000,5
9660000,5
9760000,5
9860000,5
9960000,4
