Ціна (грн),Кількість об'єктів
60000,16
160000,18
260000,19
360000,21
460000,22
560000,24
660000,26
760000,28
860000,30
960000,32
1060000,34
1160000,36
1260000,38
1360000,40
1460000,42
1560000,44
1660000,46
1760000,47
1860000,49
1960000,51
2060000,52
2160000,54
2260000,55
2360000,57
2460000,58
2560000,59
2660000,59
2760000,60
2860000,60
2960000,61
3060000,61
3160000,61
3260000,60
3360000,60
3460000,59
3560000,59
3660000,58
3760000,57
3860000,55
3960000,54
4060000,52
4160000,51
4260000,49
4360000,47
4460000,46
4560000,44
4660000,42
4760000,40
4860000,38
4960000,36
5060000,34
5160000,32
5260000,30
5360000,28
5460000,26
5560000,24
5660000,22
5760000,21
5860000,19
5960000,18
6060000,16
6160000,15
6260000,13
6360000,12
6460000,11
6560000,10
6660000,9
6760000,8
6860000,7
6960000,6
7060000,6
7160000,5
7260000,5
7360000,4
7460000,4
7560000,3
7660000,3
7760000,2
7860000,2
7960000,2
8060000,2
8160000,1
8260000,1
8360000,1
8460000,1
8560000,1
8660000,1
8760000,1
