Ціна (грн),Кількість об'єктів
60000,172
160000,215
260000,264
360000,322
460000,386
560000,458
660000,538
760000,623
860000,713
960000,806
1060000,900
1160000,993
1260000,1083
1360000,1166
1460000,1241
1560000,1304
1660000,1354
1760000,1389
1860000,1408
1960000,1410
2060000,1395
2160000,1363
2260000,1316
2360000,1255
2460000,1183
2560000,1101
2660000,1013
2760000,920
2860000,826
2960000,733
3060000,642
3160000,556
3260000,475
3360000,401
3460000,335
3560000,276
3660000,225
3760000,181
3860000,144
3960000,113
4060000,88
4160000,67
4260000,51
4360000,38
4460000,28
4560000,21
4660000,15
4760000,11
4860000,7
4960000,5
5060000,4
5160000,2
5260000,2
5360000,1
5460000,1
