Ціна (грн),Кількість об'єктів
60000,15
160000,15
260000,15
360000,15
460000,16
560000,16
660000,16
760000,16
860000,16
960000,16
1060000,17
1160000,17
1260000,17
1360000,17
1460000,17
1560000,17
1660000,17
1760000,17
1860000,17
1960000,17
2060000,17
2160000,17
2260000,17
2360000,17
2460000,17
2560000,17
2660000,17
2760000,16
2860000,16
2960000,16
3060000,16
3160000,16
3260000,16
3360000,16
3460000,15
3560000,15
3660000,15
3760000,15
3860000,14
3960000,14
4060000,14
4160000,14
4260000,13
4360000,13
4460000,13
4560000,13
4660000,12
4760000,12
4860000,12
4960000,11
5060000,11
5160000,11
5260000,10
5360000,10
5460000,10
5560000,9
5660000,9
5760000,9
5860000,9
5960000,8
6060000,8
6160000,8
6260000,7
6360000,7
6460000,7
6560000,7
6660000,6
6760000,6
6860000,6
6960000,6
7060000,5
7160000,5
7260000,5
7360000,5
7460000,4
7560000,4
7660000,4
7760000,4
7860000,4
7960000,3
8060000,3
8160000,3
8260000,3
8360000,3
8460000,3
8560000,2
8660000,2
8760000,2
8860000,2
8960000,2
9060000,2
9160000,2
9260000,2
9360000,1
9460000,1
9560000,1
9660000,1
9760000,1
9860000,1
9960000,1
