Ціна (грн),Кількість об'єктів
60000,34
160000,34
260000,34
360000,34
460000,34
560000,34
660000,34
760000,34
860000,35
960000,35
1060000,35
1160000,35
1260000,35
1360000,35
1460000,35
1560000,35
1660000,35
1760000,35
1860000,35
1960000,35
2060000,35
2160000,35
2260000,34
2360000,34
2460000,34
2560000,34
2660000,34
2760000,34
2860000,34
2960000,34
3060000,34
3160000,34
3260000,34
3360000,34
3460000,34
3560000,33
3660000,33
3760000,33
3860000,33
3960000,33
4060000,33
4160000,33
4260000,32
4360000,32
4460000,32
4560000,32
4660000,32
4760000,32
4860000,31
4960000,31
5060000,31
5160000,31
5260000,31
5360000,30
5460000,30
5560000,30
5660000,30
5760000,30
5860000,29
5960000,29
6060000,29
6160000,29
6260000,28
6360000,28
6460000,28
6560000,28
6660000,27
6760000,27
6860000,27
6960000,27
7060000,26
7160000,26
7260000,26
7360000,26
7460000,25
7560000,25
7660000,25
7760000,25
7860000,24
7960000,24
8060000,24
8160000,23
8260000,23
8360000,23
8460000,23
8560000,22
8660000,22
8760000,22
8860000,22
8960000,21
9060000,21
9160000,21
9260000,20
9360000,20
9460000,20
9560000,20
9660000,19
9760000,19
9860000,19
9960000,18
