Ціна (грн),Кількість об'єктів
60000,59
160000,70
260000,83
360000,96
460000,111
560000,128
660000,146
760000,164
860000,184
960000,205
1060000,226
1160000,247
1260000,267
1360000,288
1460000,307
1560000,325
1660000,341
1760000,355
1860000,367
1960000,376
2060000,383
2160000,386
2260000,386
2360000,383
2460000,377
2560000,368
2660000,357
2760000,343
2860000,326
2960000,309
3060000,289
3160000,269
3260000,248
3360000,227
3460000,207
3560000,186
3660000,166
3760000,147
3860000,129
3960000,113
4060000,98
4160000,84
4260000,71
4360000,60
4460000,50
4560000,42
4660000,35
4760000,28
4860000,23
4960000,18
5060000,15
5160000,12
5260000,9
5360000,7
5460000,5
5560000,4
5660000,3
5760000,2
5860000,2
5960000,1
6060000,1
6160000,1
6260000,1
