Ціна (грн),Кількість об'єктів
60000,116
160000,137
260000,160
360000,187
460000,216
560000,247
660000,282
760000,319
860000,358
960000,399
1060000,442
1160000,486
1260000,531
1360000,576
1460000,620
1560000,663
1660000,704
1760000,743
1860000,778
1960000,809
2060000,835
2160000,856
2260000,872
2360000,882
2460000,885
2560000,883
2660000,874
2760000,860
2860000,839
2960000,814
3060000,783
3160000,749
3260000,711
3360000,670
3460000,628
3560000,583
3660000,539
3760000,494
3860000,450
3960000,406
4060000,365
4160000,325
4260000,288
4360000,253
4460000,221
4560000,191
4660000,165
4760000,141
4860000,120
4960000,101
5060000,84
5160000,70
5260000,58
5360000,47
5460000,39
5560000,31
5660000,25
5760000,20
5860000,16
5960000,12
6060000,10
6160000,7
6260000,6
6360000,4
6460000,3
6560000,3
6660000,2
6760000,1
6860000,1
6960000,1
7060000,1
