Ціна (грн),Кількість об'єктів
60000,18
160000,19
260000,19
360000,20
460000,21
560000,22
660000,22
760000,23
860000,24
960000,24
1060000,25
1160000,25
1260000,26
1360000,27
1460000,27
1560000,27
1660000,28
1760000,28
1860000,28
1960000,29
2060000,29
2160000,29
2260000,29
2360000,29
2460000,29
2560000,29
2660000,29
2760000,29
2860000,28
2960000,28
3060000,28
3160000,27
3260000,27
3360000,26
3460000,26
3560000,25
3660000,25
3760000,24
3860000,24
3960000,23
4060000,22
4160000,22
4260000,21
4360000,20
4460000,19
4560000,19
4660000,18
4760000,17
4860000,16
4960000,16
5060000,15
5160000,14
5260000,13
5360000,13
5460000,12
5560000,11
5660000,11
5760000,10
5860000,9
5960000,9
6060000,8
6160000,8
6260000,7
6360000,7
6460000,6
6560000,6
6660000,5
6760000,5
6860000,5
6960000,4
7060000,4
7160000,4
7260000,3
7360000,3
7460000,3
7560000,2
7660000,2
7760000,2
7860000,2
7960000,2
8060000,1
8160000,1
8260000,1
8360000,1
8460000,1
8560000,1
8660000,1
8760000,1
8860000,1
8960000,1
