Ціна (грн),Кількість об'єктів
60000,200
160000,202
260000,204
360000,206
460000,208
560000,210
660000,212
760000,214
860000,215
960000,217
1060000,219
1160000,221
1260000,223
1360000,224
1460000,226
1560000,228
1660000,229
1760000,231
1860000,233
1960000,234
2060000,236
2160000,237
2260000,239
2360000,240
2460000,241
2560000,243
2660000,244
2760000,245
2860000,246
2960000,247
3060000,248
3160000,249
3260000,250
3360000,251
3460000,252
3560000,253
3660000,254
3760000,255
3860000,255
3960000,256
4060000,256
4160000,257
4260000,257
4360000,258
4460000,258
4560000,259
4660000,259
4760000,259
4860000,259
4960000,259
5060000,260
5160000,260
5260000,260
5360000,259
5460000,259
5560000,259
5660000,259
5760000,259
5860000,258
5960000,258
6060000,257
6160000,257
6260000,256
6360000,256
6460000,255
6560000,254
6660000,254
6760000,253
6860000,252
6960000,251
7060000,250
7160000,249
7260000,248
7360000,247
7460000,246
7560000,245
7660000,244
7760000,242
7860000,241
7960000,240
8060000,238
8160000,237
8260000,235
8360000,234
8460000,232
8560000,231
8660000,229
8760000,228
8860000,226
8960000,224
9060000,222
9160000,221
9260000,219
9360000,217
9460000,215
9560000,213
9660000,211
9760000,209
9860000,207
9960000,205
